Date,Price,Open,High,Low,Vol.,Change %
2024-10-28,263.35,260.65,265.05,255.3,13.84M,-0.27%
2024-10-29,265.0,263.35,265.55,259.4,9.12M,0.63%
2024-10-30,261.65,265.0,266.2,261.05,11.17M,-1.26%
2024-10-31,266.15,263.4,268.3,261.15,16.17M,1.72%
2024-11-01,271.75,269.8,274.0,268.65,2.96M,2.10%
2024-11-04,265.3,274.0,274.35,260.15,14.36M,-2.37%
2024-11-05,267.4,265.2,268.6,263.6,11.68M,0.79%
2024-11-06,269.05,267.7,270.6,264.4,19.24M,0.62%
2024-11-07,265.2,270.5,270.5,264.8,6.77M,-1.43%
2024-11-08,262.55,265.95,266.5,259.65,7.84M,-1.00%
2024-11-11,256.9,262.35,262.35,256.0,8.45M,-2.15%
2024-11-12,256.15,260.85,263.2,255.4,22.45M,-0.29%
2024-11-13,252.55,256.15,256.95,249.0,17.48M,-1.41%
2024-11-14,250.8,252.55,254.3,249.0,12.45M,-0.69%
2024-11-18,250.65,251.1,252.1,247.1,14.64M,-0.06%
2024-11-19,248.0,250.0,255.4,247.1,17.40M,-1.06%
2024-11-21,242.15,248.0,248.0,240.8,16.19M,-2.36%
2024-11-22,245.6,244.8,246.95,243.5,9.64M,1.42%
2024-11-25,257.9,248.5,260.5,247.95,31.97M,5.01%
2024-11-26,254.25,256.95,258.25,252.55,9.24M,-1.42%
2024-11-27,254.3,255.0,255.5,250.55,11.69M,0.02%
2024-11-28,252.2,255.0,257.4,251.2,14.20M,-0.83%
2024-11-29,256.7,253.8,258.65,252.25,11.48M,1.78%
2024-12-02,257.55,255.5,258.3,252.7,13.68M,0.33%
2024-12-03,262.35,260.4,264.7,258.85,15.35M,1.86%
2024-12-04,260.7,263.85,264.3,260.0,10.71M,-0.63%
2024-12-05,261.3,260.7,263.25,256.9,12.90M,0.23%
2024-12-06,260.05,260.8,263.0,259.55,8.78M,-0.48%
2024-12-09,258.9,260.05,261.35,257.7,6.80M,-0.44%
2024-12-10,256.9,257.65,258.75,254.5,11.32M,-0.77%
2024-12-11,256.6,257.5,258.7,255.65,5.35M,-0.12%
2024-12-12,254.05,258.0,258.6,253.6,7.12M,-0.99%
2024-12-13,254.25,253.0,256.8,249.5,11.14M,0.08%
2024-12-16,251.8,254.0,256.3,251.2,7.28M,-0.96%
2024-12-17,247.4,251.75,252.45,246.5,10.07M,-1.75%
2024-12-18,244.15,247.4,247.5,243.4,8.43M,-1.31%
2024-12-19,241.85,240.0,243.95,238.55,9.52M,-0.94%
2024-12-20,237.1,241.5,244.15,235.3,15.56M,-1.96%
2024-12-23,240.85,238.25,242.3,236.85,7.72M,1.58%
2024-12-24,238.95,241.0,243.25,238.6,3.58M,-0.79%
2024-12-26,240.25,240.0,242.0,239.0,6.33M,0.54%
2024-12-27,236.9,240.0,241.0,236.3,6.49M,-1.39%
2024-12-30,232.65,236.05,237.0,231.15,19.40M,-1.79%
2024-12-31,239.25,232.65,239.9,232.35,12.00M,2.84%
2025-01-01,236.95,237.81,239.24,236.35,9.42M,-0.96%
