Date,Price,Open,High,Low,Vol.,Change %
2024-08-20,"1,872.20","1,880.00","1,885.70","1,868.20",3.87M,0.40%
2024-08-21,"1,872.70","1,875.10","1,879.00","1,867.10",1.97M,0.03%
2024-08-22,"1,880.25","1,884.00","1,893.65","1,869.70",4.30M,0.40%
2024-08-23,"1,862.10","1,878.20","1,882.60","1,857.00",5.02M,-0.97%
2024-08-26,"1,876.15","1,870.00","1,888.75","1,864.00",3.73M,0.75%
2024-08-27,"1,900.10","1,876.15","1,902.75","1,873.90",3.83M,1.28%
2024-08-28,"1,939.10","1,906.90","1,951.00","1,897.40",6.51M,2.05%
2024-08-29,"1,933.35","1,933.00","1,950.50","1,920.90",7.23M,-0.30%
2024-08-30,"1,943.70","1,938.00","1,950.00","1,928.00",13.47M,0.54%
2024-09-02,"1,964.50","1,943.35","1,975.75","1,942.80",5.57M,1.07%
2024-09-03,"1,941.25","1,967.00","1,967.00","1,936.45",4.69M,-1.18%
2024-09-04,"1,922.45","1,921.10","1,927.20","1,900.05",4.78M,-0.97%
2024-09-05,"1,933.15","1,926.25","1,940.00","1,909.60",4.08M,0.56%
2024-09-06,"1,901.85","1,922.00","1,936.50","1,896.85",5.85M,-1.62%
2024-09-09,"1,894.65","1,890.00","1,920.85","1,889.00",4.77M,-0.38%
2024-09-10,"1,912.30","1,904.90","1,935.00","1,896.00",6.91M,0.93%
2024-09-11,"1,910.15","1,914.70","1,926.00","1,905.00",5.31M,-0.11%
2024-09-12,"1,950.45","1,925.00","1,956.40","1,910.80",8.56M,2.11%
2024-09-13,"1,944.10","1,950.45","1,958.60","1,935.65",3.84M,-0.33%
2024-09-16,"1,950.25","1,945.75","1,952.00","1,933.05",1.57M,0.32%
2024-09-17,"1,952.55","1,947.75","1,958.45","1,942.15",2.79M,0.12%
2024-09-18,"1,892.15","1,938.75","1,938.75","1,881.30",6.39M,-3.09%
2024-09-19,"1,894.20","1,910.60","1,924.90","1,878.80",7.98M,0.11%
2024-09-20,"1,905.75","1,905.00","1,915.00","1,867.40",15.24M,0.61%
2024-09-23,"1,896.45","1,909.00","1,918.90","1,878.45",3.64M,-0.49%
2024-09-24,"1,898.60","1,888.00","1,910.90","1,871.40",7.28M,0.11%
2024-09-25,"1,895.30","1,886.35","1,901.60","1,876.80",4.27M,-0.17%
2024-09-26,"1,900.25","1,897.80","1,917.95","1,893.00",8.95M,0.26%
2024-09-27,"1,906.75","1,932.10","1,974.60","1,903.30",14.91M,0.34%
2024-09-30,"1,875.60","1,880.00","1,901.25","1,870.50",6.99M,-1.63%
2024-10-01,"1,904.35","1,875.00","1,908.95","1,875.00",4.03M,1.53%
2024-10-03,"1,893.40","1,889.50","1,911.85","1,881.00",7.50M,-0.57%
2024-10-04,"1,918.15","1,889.55","1,954.10","1,886.00",10.00M,1.31%
2024-10-07,"1,934.30","1,923.20","1,942.00","1,916.05",6.11M,0.84%
2024-10-08,"1,948.55","1,937.90","1,957.95","1,906.35",5.64M,0.74%
2024-10-09,"1,952.75","1,952.55","1,977.00","1,945.10",4.86M,0.22%
2024-10-10,"1,919.00","1,957.90","1,964.00","1,914.10",4.78M,-1.73%
2024-10-11,"1,935.10","1,918.00","1,947.00","1,910.10",4.71M,0.84%
2024-10-14,"1,958.90","1,932.15","1,969.50","1,931.10",3.75M,1.23%
2024-10-15,"1,959.30","1,960.00","1,991.45","1,951.75",5.35M,0.02%
2024-10-16,"1,920.10","1,955.00","1,959.55","1,916.35",3.11M,-2.00%
2024-10-17,"1,968.10","1,935.20","1,978.00","1,930.15",8.16M,2.50%
2024-10-18,"1,879.60","1,893.80","1,936.85","1,869.25",10.53M,-4.50%
2024-10-21,"1,852.75","1,891.10","1,898.80","1,838.00",4.65M,-1.43%
2024-10-22,"1,851.60","1,858.20","1,877.80","1,846.95",4.13M,-0.06%
2024-10-23,"1,873.40","1,845.25","1,886.00","1,844.00",4.31M,1.18%
2024-10-24,"1,863.35","1,861.40","1,884.00","1,860.00",2.91M,-0.54%
2024-10-25,"1,862.05","1,863.45","1,876.35","1,846.40",4.69M,-0.07%
2024-10-28,"1,865.35","1,859.70","1,881.90","1,857.00",7.02M,0.18%
2024-10-29,"1,839.30","1,846.00","1,851.60","1,829.00",4.62M,-1.40%
2024-10-30,"1,802.10","1,832.00","1,839.00","1,796.35",5.92M,-2.02%
2024-10-31,"1,757.25","1,787.90","1,787.90","1,746.50",7.40M,-2.49%
2024-11-01,"1,760.85","1,764.50","1,766.00","1,752.05",371.97K,0.20%
2024-11-04,"1,763.65","1,724.50","1,767.00","1,718.00",7.34M,0.16%
2024-11-05,"1,754.20","1,760.00","1,768.45","1,745.00",3.16M,-0.54%
2024-11-06,"1,823.70","1,764.00","1,827.20","1,762.65",10.42M,3.96%
2024-11-07,"1,803.05","1,812.95","1,825.70","1,787.00",4.55M,-1.13%
2024-11-08,"1,829.95","1,818.00","1,840.60","1,813.15",4.21M,1.49%
2024-11-11,"1,860.10","1,829.00","1,868.00","1,822.55",3.80M,1.65%
2024-11-12,"1,868.80","1,871.10","1,881.00","1,861.00",5.01M,0.47%
2024-11-13,"1,868.40","1,861.10","1,873.20","1,856.30",4.26M,-0.02%
2024-11-14,"1,864.55","1,865.60","1,876.00","1,856.00",4.31M,-0.21%
2024-11-18,"1,811.45","1,849.20","1,849.20","1,795.00",4.84M,-2.85%
2024-11-19,"1,824.75","1,825.50","1,859.70","1,820.55",4.67M,0.73%
2024-11-21,"1,834.05","1,842.00","1,867.00","1,820.60",5.44M,0.51%
2024-11-22,"1,902.25","1,854.10","1,914.05","1,834.00",6.30M,3.72%
2024-11-25,"1,889.70","1,916.00","1,919.30","1,882.00",12.76M,-0.66%
2024-11-26,"1,924.15","1,904.95","1,938.60","1,897.30",6.85M,1.82%
2024-11-27,"1,924.50","1,930.10","1,941.40","1,911.75",4.45M,0.02%
2024-11-28,"1,856.65","1,914.90","1,914.90","1,851.65",8.47M,-3.53%
2024-11-29,"1,857.85","1,851.10","1,877.00","1,845.00",5.24M,0.06%
2024-12-02,"1,879.80","1,859.00","1,882.80","1,835.20",2.87M,1.18%
2024-12-03,"1,892.10","1,887.00","1,899.75","1,871.15",4.72M,0.65%
2024-12-04,"1,889.25","1,884.00","1,913.95","1,875.00",4.71M,-0.15%
2024-12-05,"1,934.85","1,900.00","1,949.90","1,888.95",9.05M,2.41%
2024-12-06,"1,922.40","1,932.80","1,937.95","1,912.40",3.57M,-0.64%
2024-12-09,"1,923.65","1,924.20","1,930.20","1,897.20",4.27M,0.07%
2024-12-10,"1,948.55","1,939.00","1,965.60","1,932.00",6.17M,1.29%
2024-12-11,"1,974.15","1,955.00","1,978.00","1,952.00",5.03M,1.31%
2024-12-12,"1,987.00","1,975.20","1,998.80","1,970.55",6.46M,0.65%
2024-12-13,"1,999.70","1,969.75","2,006.45","1,953.80",5.36M,0.64%
2024-12-16,"1,980.05","1,995.45","1,999.60","1,977.60",3.12M,-0.98%
2024-12-17,"1,976.60","1,968.00","1,982.00","1,958.00",5.81M,-0.17%
2024-12-18,"1,979.15","1,966.80","1,984.95","1,961.60",3.06M,0.13%
2024-12-19,"1,946.20","1,934.00","1,959.75","1,920.00",5.32M,-1.66%
2024-12-20,"1,922.15","1,975.15","1,979.95","1,911.25",11.06M,-1.24%
2024-12-23,"1,924.30","1,930.05","1,940.00","1,909.00",2.78M,0.11%
2024-12-24,"1,909.05","1,927.05","1,942.00","1,840.00",2.36M,-0.79%
2024-12-26,"1,907.40","1,909.05","1,919.75","1,902.30",3.62M,-0.09%
2024-12-27,"1,916.75","1,909.40","1,924.15","1,903.90",3.94M,0.49%
2024-12-30,"1,906.00","1,915.70","1,916.00","1,886.50",7.79M,-0.56%
2024-12-31,"1,880.00","1,892.30","1,897.00","1,845.05",3.61M,-1.36%
2025-01-01,"1,882.50","1,874.00","1,892.95","1,874.00",1.84M,0.13%
