Date,NAV,fund_name
2009-04-17,19.28,Birla
2009-04-16,19.26,Birla
2009-04-15,19.38,Birla
2009-04-13,19.07,Birla
2009-04-09,18.83,Birla
2009-04-08,18.69,Birla
2009-04-06,18.36,Birla
2009-04-02,18.23,Birla
2009-04-01,17.92,Birla
2009-03-31,17.76,Birla
2009-03-30,17.5,Birla
2009-03-27,17.7,Birla
2009-03-26,17.59,Birla
2009-03-25,17.3,Birla
2009-03-24,16.99,Birla
2009-03-23,17.0,Birla
2009-03-20,16.65,Birla
2009-03-19,16.68,Birla
2009-03-18,16.67,Birla
2009-03-17,16.55,Birla
2009-03-16,16.67,Birla
2009-03-13,16.34,Birla
2009-03-12,16.05,Birla
2009-03-09,15.97,Birla
2009-03-06,16.11,Birla
2009-03-05,16.07,Birla
2009-03-04,16.24,Birla
2009-03-03,16.26,Birla
2009-03-02,16.42,Birla
2009-02-27,16.62,Birla
2009-02-26,16.7,Birla
2009-02-25,16.66,Birla
2009-02-24,16.58,Birla
2009-02-20,16.69,Birla
2009-02-19,16.86,Birla
2009-02-18,16.84,Birla
2009-02-17,16.87,Birla
2009-02-16,17.06,Birla
2009-02-13,17.31,Birla
2009-02-12,17.18,Birla
2009-02-11,17.32,Birla
2009-02-10,17.29,Birla
2009-02-09,17.3,Birla
2009-02-06,17.14,Birla
2009-02-05,16.99,Birla
2009-02-04,17.03,Birla
2009-02-03,17.02,Birla
2009-02-02,16.96,Birla
2009-01-30,17.12,Birla
2009-01-29,17.0,Birla
2009-01-28,17.08,Birla
2009-01-27,16.9,Birla
2009-01-23,16.84,Birla
2009-01-22,16.91,Birla
2009-01-21,17.01,Birla
2009-01-20,17.14,Birla
2009-01-19,17.23,Birla
2009-01-16,17.16,Birla
2009-01-15,17.07,Birla
2009-01-14,17.23,Birla
2009-01-13,16.98,Birla
2009-01-12,16.98,Birla
2009-01-09,17.07,Birla
2009-01-07,17.3,Birla
2009-01-06,17.97,Birla
2009-01-05,17.96,Birla
2009-01-02,17.82,Birla
2009-01-01,17.63,Birla
2008-12-31,17.51,Birla
2008-12-30,17.43,Birla
2008-12-29,17.16,Birla
2008-12-26,16.91,Birla
2008-12-24,17.08,Birla
2008-12-23,17.12,Birla
2008-12-22,17.32,Birla
2008-12-19,17.5,Birla
2008-12-18,17.44,Birla
2008-12-17,17.15,Birla
2008-12-16,17.15,Birla
2008-12-15,16.96,Birla
2008-12-12,16.78,Birla
2008-12-11,16.7,Birla
2008-12-10,16.68,Birla
2008-12-08,16.46,Birla
2008-12-05,16.27,Birla
2008-12-04,16.31,Birla
2008-12-03,15.95,Birla
2008-12-02,15.81,Birla
2008-12-01,15.85,Birla
2008-11-28,15.95,Birla
2008-11-26,15.89,Birla
2008-11-25,15.83,Birla
2008-11-24,15.96,Birla
2008-11-21,15.86,Birla
2008-11-20,15.8,Birla
2008-11-19,15.94,Birla
2008-11-18,15.97,Birla
2008-11-17,16.18,Birla
2008-11-14,16.23,Birla
2008-11-12,16.34,Birla
2008-11-11,16.44,Birla
2008-11-10,16.76,Birla
2008-11-07,16.51,Birla
2008-11-06,16.38,Birla
2008-11-05,16.68,Birla
2008-11-04,16.83,Birla
2008-11-03,16.66,Birla
2008-10-31,16.4,Birla
2008-10-29,15.99,Birla
2008-10-27,15.48,Birla
2008-10-24,15.82,Birla
2008-10-23,16.48,Birla
2008-10-22,16.71,Birla
2008-10-21,16.87,Birla
2008-10-20,16.59,Birla
2008-10-17,16.48,Birla
2008-10-16,16.7,Birla
2008-10-15,16.72,Birla
2008-10-14,17.08,Birla
2008-10-13,16.91,Birla
2008-10-10,16.61,Birla
2008-10-08,17.23,Birla
2008-10-07,17.62,Birla
2008-10-06,17.78,Birla
2008-10-03,18.33,Birla
2008-10-01,18.59,Birla
2008-09-30,18.49,Birla
2008-09-29,18.23,Birla
2008-09-26,18.67,Birla
2008-09-25,18.94,Birla
2008-09-24,18.99,Birla
2008-09-23,18.97,Birla
2008-09-22,19.11,Birla
2008-09-19,19.13,Birla
2008-09-18,18.81,Birla
2008-09-17,18.81,Birla
2008-09-16,18.97,Birla
2008-09-15,18.93,Birla
2008-09-12,19.28,Birla
2008-09-11,19.48,Birla
2008-09-10,19.63,Birla
2008-09-09,19.72,Birla
2008-09-08,19.78,Birla
2008-09-05,19.59,Birla
2008-09-04,19.77,Birla
2008-09-02,19.78,Birla
2008-09-01,19.54,Birla
2008-08-29,19.56,Birla
2008-08-28,19.29,Birla
2008-08-27,19.44,Birla
2008-08-26,19.45,Birla
2008-08-25,19.45,Birla
2008-08-22,19.41,Birla
2008-08-21,19.34,Birla
2008-08-20,19.63,Birla
2008-08-18,19.64,Birla
2008-08-14,19.76,Birla
2008-08-13,19.93,Birla
2008-08-12,20.01,Birla
2008-08-11,20.19,Birla
2008-08-08,19.98,Birla
2008-08-07,19.97,Birla
2008-08-06,19.89,Birla
2008-08-05,19.85,Birla
2008-08-04,19.62,Birla
2008-08-01,19.43,Birla
2008-07-31,19.18,Birla
2008-07-30,19.19,Birla
2008-07-29,18.9,Birla
2008-07-28,19.24,Birla
2008-07-25,19.12,Birla
2008-07-24,19.21,Birla
2008-07-23,19.22,Birla
2008-07-22,18.71,Birla
2008-07-21,18.51,Birla
2008-07-18,18.49,Birla
2008-07-17,18.28,Birla
2008-07-16,18.06,Birla
2008-07-15,18.1,Birla
2008-07-14,18.41,Birla
2008-07-11,18.45,Birla
2008-07-10,18.64,Birla
2008-07-09,18.72,Birla
2008-07-08,18.4,Birla
2008-07-07,18.57,Birla
2008-07-04,18.42,Birla
2008-07-03,18.32,Birla
2008-07-02,18.63,Birla
2008-07-01,18.33,Birla
2008-06-30,18.68,Birla
2008-06-27,18.9,Birla
2008-06-26,19.43,Birla
2008-06-25,19.2,Birla
2008-06-24,19.21,Birla
2008-06-23,19.42,Birla
2008-06-20,19.68,Birla
2008-06-19,20.05,Birla
2008-06-18,20.02,Birla
2008-06-17,20.16,Birla
2008-06-16,19.9,Birla
2008-06-13,19.83,Birla
2008-06-12,19.8,Birla
2008-06-11,19.76,Birla
2008-06-10,19.66,Birla
2008-06-09,19.78,Birla
2008-06-06,20.14,Birla
2008-06-05,20.26,Birla
2008-06-04,20.17,Birla
2008-06-03,20.46,Birla
2008-06-02,20.55,Birla
2008-05-30,20.76,Birla
2008-05-29,20.77,Birla
2008-05-28,20.93,Birla
2008-05-27,20.68,Birla
2008-05-26,20.72,Birla
2008-05-23,20.96,Birla
2008-05-22,21.13,Birla
2008-05-21,21.34,Birla
2008-05-20,21.3,Birla
2008-05-16,21.36,Birla
2008-05-15,21.26,Birla
2008-05-14,21.08,Birla
2008-05-13,21.01,Birla
2008-05-12,21.0,Birla
2008-05-09,21.0,Birla
2008-05-08,21.21,Birla
2008-05-07,21.32,Birla
2008-05-06,21.39,Birla
2008-05-05,21.47,Birla
2008-05-02,21.51,Birla
2008-04-30,21.38,Birla
2008-04-29,21.3,Birla
2008-04-28,21.16,Birla
2008-04-25,21.33,Birla
2008-04-24,20.95,Birla
2008-04-23,20.96,Birla
2008-04-22,20.94,Birla
2008-04-21,20.92,Birla
2008-04-17,20.8,Birla
2008-04-16,20.58,Birla
2008-04-15,20.42,Birla
2008-04-11,20.22,Birla
2008-04-10,20.2,Birla
2008-04-09,20.23,Birla
2008-04-08,20.17,Birla
2008-04-07,20.16,Birla
2008-04-04,19.89,Birla
2008-04-03,20.23,Birla
2008-04-02,20.14,Birla
2008-04-01,20.1,Birla
2008-03-31,20.19,Birla
2008-03-28,20.45,Birla
2008-03-27,20.08,Birla
2008-03-26,20.11,Birla
2008-03-25,20.1,Birla
2008-03-24,19.54,Birla
2008-03-19,19.44,Birla
2008-03-18,19.35,Birla
2008-03-17,19.34,Birla
2008-03-14,19.94,Birla
2008-03-13,19.81,Birla
2008-03-12,20.41,Birla
2008-03-11,20.46,Birla
2008-03-10,20.12,Birla
2008-03-07,20.16,Birla
2008-03-05,20.6,Birla
2008-03-04,20.53,Birla
2008-03-03,20.79,Birla
2008-02-29,21.36,Birla
2008-02-28,21.35,Birla
2008-02-27,21.42,Birla
2008-02-26,21.29,Birla
2008-02-25,21.1,Birla
2008-02-22,21.04,Birla
2008-02-21,21.25,Birla
2008-02-20,21.15,Birla
2008-02-19,21.4,Birla
2008-02-18,21.34,Birla
2008-02-15,21.3,Birla
2008-02-14,21.01,Birla
2008-02-13,20.45,Birla
2008-02-12,20.32,Birla
2008-02-11,20.54,Birla
2008-02-08,21.19,Birla
2008-02-07,21.31,Birla
2008-02-06,21.68,Birla
2008-02-05,21.96,Birla
2008-02-04,22.02,Birla
2008-02-01,21.58,Birla
2008-01-31,21.38,Birla
2008-01-30,21.52,Birla
2008-01-29,21.77,Birla
2008-01-28,21.74,Birla
2008-01-25,21.83,Birla
2008-01-24,21.03,Birla
